Incident_ID,Time_ID,Location_ID,Victim_ID,Offender_ID,Crime_Type_ID,Incident_Count
1001,20200101,1,5000,9000,1,1
1002,20200101,2,5001,9001,2,1
1003,20200101,3,5002,9002,3,1
1004,20200101,4,5003,9003,4,1
1005,20200101,5,5004,9004,5,1
1006,20200101,6,5005,9005,6,1
1007,20200101,7,5006,9006,7,1
1008,20200101,8,5007,9007,8,1
1009,20200101,9,5008,9008,9,1
1010,20200101,10,5009,9009,10,1
1011,20200101,11,5010,9010,11,1
1012,20200101,12,5011,9011,12,1
1013,20200101,13,5012,9012,13,1
1014,20200101,14,5013,9013,14,1
1015,20200101,15,5014,9014,15,1
1016,20200101,16,5015,9015,16,1
1017,20200101,17,5016,9016,17,1
1018,20200101,18,5017,9017,18,1
1019,20200101,19,5018,9018,19,1
1020,20200101,20,5019,9019,20,1
1021,20200101,21,5020,9020,1,1
1022,20200101,22,5021,9021,2,1
1023,20200101,23,5022,9022,3,1
1024,20200101,24,5023,9023,4,1
1025,20200101,25,5024,9024,5,1
1026,20200101,26,5025,9025,6,1
1027,20200101,27,5026,9026,7,1
1028,20200101,28,5027,9027,8,1
1029,20200101,29,5028,9028,9,1
1030,20200101,30,5029,9029,10,1
1031,20200101,31,5030,9030,11,1
1032,20200101,32,5031,9031,12,1
1033,20200101,33,5032,9032,13,1
1034,20200101,34,5033,9033,14,1
1035,20200101,35,5034,9034,15,1
1036,20200101,36,5035,9035,16,1
1037,20200101,37,5036,9036,17,1
1038,20200101,38,5037,9037,18,1
1039,20200101,39,5038,9038,19,1
1040,20200101,40,5039,9039,20,1
1041,20200101,41,5040,9040,1,1
1042,20200101,42,5041,9041,2,1
1043,20200101,43,5042,9042,3,1
1044,20200101,44,5043,9043,4,1
1045,20200101,45,5044,9044,5,1
1046,20200101,46,5045,9045,6,1
1047,20200101,47,5046,9046,7,1
1048,20200101,48,5047,9047,8,1
1049,20200101,49,5048,9048,9,1
1050,20200101,50,5049,9049,10,1
1051,20200101,1,5050,9050,11,1
1052,20200101,2,5051,9051,12,1
1053,20200101,3,5052,9052,13,1
1054,20200101,4,5053,9053,14,1
1055,20200101,5,5054,9054,15,1
1056,20200101,6,5055,9055,16,1
1057,20200101,7,5056,9056,17,1
1058,20200101,8,5057,9057,18,1
1059,20200101,9,5058,9058,19,1
1060,20200101,10,5059,9059,20,1
1061,20200101,11,5060,9060,1,1
1062,20200101,12,5061,9061,2,1
1063,20200101,13,5062,9062,3,1
1064,20200101,14,5063,9063,4,1
1065,20200101,15,5064,9064,5,1
1066,20200101,16,5065,9065,6,1
1067,20200101,17,5066,9066,7,1
1068,20200101,18,5067,9067,8,1
1069,20200101,19,5068,9068,9,1
1070,20200101,20,5069,9069,10,1
1071,20200101,21,5070,9070,11,1
1072,20200101,22,5071,9071,12,1
1073,20200101,23,5072,9072,13,1
1074,20200101,24,5073,9073,14,1
1075,20200101,25,5074,9074,15,1
1076,20200101,26,5075,9075,16,1
1077,20200101,27,5076,9076,17,1
1078,20200101,28,5077,9077,18,1
1079,20200101,29,5078,9078,19,1
1080,20200101,30,5079,9079,20,1
1081,20200101,31,5080,9080,1,1
1082,20200101,32,5081,9081,2,1
1083,20200101,33,5082,9082,3,1
1084,20200101,34,5083,9083,4,1
1085,20200101,35,5084,9084,5,1
1086,20200101,36,5085,9085,6,1
1087,20200101,37,5086,9086,7,1
1088,20200101,38,5087,9087,8,1
1089,20200101,39,5088,9088,9,1
1090,20200101,40,5089,9089,10,1
1091,20200101,41,5090,9090,11,1
1092,20200101,42,5091,9091,12,1
1093,20200101,43,5092,9092,13,1
1094,20200101,44,5093,9093,14,1
1095,20200101,45,5094,9094,15,1
1096,20200101,46,5095,9095,16,1
1097,20200101,47,5096,9096,17,1
1098,20200101,48,5097,9097,18,1
1099,20200101,49,5098,9098,19,1
1100,20200101,50,5099,9099,20,1
1101,20200101,1,5100,9100,1,1
1102,20200101,2,5101,9101,2,1
1103,20200101,3,5102,9102,3,1
1104,20200101,4,5103,9103,4,1
1105,20200101,5,5104,9104,5,1
1106,20200101,6,5105,9105,6,1
1107,20200101,7,5106,9106,7,1
1108,20200101,8,5107,9107,8,1
1109,20200101,9,5108,9108,9,1
1110,20200101,10,5109,9109,10,1
1111,20200101,11,5110,9110,11,1
1112,20200101,12,5111,9111,12,1
1113,20200101,13,5112,9112,13,1
1114,20200101,14,5113,9113,14,1
1115,20200101,15,5114,9114,15,1
1116,20200101,16,5115,9115,16,1
1117,20200101,17,5116,9116,17,1
1118,20200101,18,5117,9117,18,1
1119,20200101,19,5118,9118,19,1
1120,20200101,20,5119,9119,20,1
1121,20200101,21,5120,9120,1,1
1122,20200101,22,5121,9121,2,1
1123,20200101,23,5122,9122,3,1
1124,20200101,24,5123,9123,4,1
1125,20200101,25,5124,9124,5,1
1126,20200101,26,5125,9125,6,1
1127,20200101,27,5126,9126,7,1
1128,20200101,28,5127,9127,8,1
1129,20200101,29,5128,9128,9,1
1130,20200101,30,5129,9129,10,1
1131,20200101,31,5130,9130,11,1
1132,20200101,32,5131,9131,12,1
1133,20200101,33,5132,9132,13,1
1134,20200101,34,5133,9133,14,1
1135,20200101,35,5134,9134,15,1
1136,20200101,36,5135,9135,16,1
1137,20200101,37,5136,9136,17,1
1138,20200101,38,5137,9137,18,1
1139,20200101,39,5138,9138,19,1
1140,20200101,40,5139,9139,20,1
1141,20200101,41,5140,9140,1,1
1142,20200101,42,5141,9141,2,1
1143,20200101,43,5142,9142,3,1
1144,20200101,44,5143,9143,4,1
1145,20200101,45,5144,9144,5,1
1146,20200101,46,5145,9145,6,1
1147,20200101,47,5146,9146,7,1
1148,20200101,48,5147,9147,8,1
1149,20200101,49,5148,9148,9,1
1150,20200101,50,5149,9149,10,1
1151,20200101,1,5150,9150,11,1
1152,20200101,2,5151,9151,12,1
1153,20200101,3,5152,9152,13,1
1154,20200101,4,5153,9153,14,1
1155,20200101,5,5154,9154,15,1
1156,20200101,6,5155,9155,16,1
1157,20200101,7,5156,9156,17,1
1158,20200101,8,5157,9157,18,1
1159,20200101,9,5158,9158,19,1
1160,20200101,10,5159,9159,20,1
1161,20200101,11,5160,9160,1,1
1162,20200101,12,5161,9161,2,1
1163,20200101,13,5162,9162,3,1
1164,20200101,14,5163,9163,4,1
1165,20200101,15,5164,9164,5,1
1166,20200101,16,5165,9165,6,1
1167,20200101,17,5166,9166,7,1
1168,20200101,18,5167,9167,8,1
1169,20200101,19,5168,9168,9,1
1170,20200101,20,5169,9169,10,1
1171,20200101,21,5170,9170,11,1
1172,20200101,22,5171,9171,12,1
1173,20200101,23,5172,9172,13,1
1174,20200101,24,5173,9173,14,1
1175,20200101,25,5174,9174,15,1
1176,20200101,26,5175,9175,16,1
1177,20200101,27,5176,9176,17,1
1178,20200101,28,5177,9177,18,1
1179,20200101,29,5178,9178,19,1
1180,20200101,30,5179,9179,20,1
1181,20200101,31,5180,9180,1,1
1182,20200101,32,5181,9181,2,1
1183,20200101,33,5182,9182,3,1
1184,20200101,34,5183,9183,4,1
1185,20200101,35,5184,9184,5,1
1186,20200101,36,5185,9185,6,1
1187,20200101,37,5186,9186,7,1
1188,20200101,38,5187,9187,8,1
1189,20200101,39,5188,9188,9,1
1190,20200101,40,5189,9189,10,1
1191,20200101,41,5190,9190,11,1
1192,20200101,42,5191,9191,12,1
1193,20200101,43,5192,9192,13,1
1194,20200101,44,5193,9193,14,1
1195,20200101,45,5194,9194,15,1
1196,20200101,46,5195,9195,16,1
1197,20200101,47,5196,9196,17,1
1198,20200101,48,5197,9197,18,1
1199,20200101,49,5198,9198,19,1
1200,20200101,50,5199,9199,20,1
1201,20200101,1,5200,9200,1,1
1202,20200101,2,5201,9201,2,1
1203,20200101,3,5202,9202,3,1
1204,20200101,4,5203,9203,4,1
1205,20200101,5,5204,9204,5,1
1206,20200101,6,5205,9205,6,1
1207,20200101,7,5206,9206,7,1
1208,20200101,8,5207,9207,8,1
